Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Mahindra&Mahindra,India,IND,Autos,No,large,INE101A01026,6100186,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathon Oil,United States of America,USA,Oil & Gas,No,medium,US5658491064,2910970,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,71.56093161,71.13259426,69.41549045,69.57731671,70.16343048,71.42473128,70.93313595,70.44154062,69.9499453,69.45834997,68.96675464,68.47515931,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Marathon Petroleum,United States of America,USA,Oil & Gas,Yes,large,US56585A1025,B3K3L40,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,82.70137654,82.01856851,82.51903539,82.32279254,80.72328401,80.64234387,78.4829078,78.40302249,78.32313719,78.24325188,78.16336658,78.08348127,78.00359597,77.92371066,77.84382536,77.76394006,77.68405475,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Martin Marietta Materials,United States of America,USA,Cement,Yes,medium,US5732841060,2572079,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin Marietta Materials has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Marubeni,Japan,JPN,Aluminium,No,large,JP3877600001,6569464,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,No or unsuitable disclosure,,,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Mazda,Japan,JPN,Autos,No,large,JP3868400007,6900308,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,2 Degrees (Shift-Improve),2036,Paris Pledges,2022,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),143.0,138.0,137.0,137.0,142.0,142.0,137.0,132.0,127.0,122.0,117.0,112.0,107.0,102.0,97.0,92.0,87.0,82.0,79.0,76.0,72.0,69.0,66.0,62.0,59.0,56.0,53.0,49.0,46.0,43.0,39.0,36.0,33.0,30.0,26.0,23.0,20.0,16.0,TPI has assumed that both tank-to-wheel and well-to-tank emissions fall by equal proportions in meeting the company’s well-to-wheel target.
Meridian Energy,New Zealand,NZL,Electricity Utilities,No,large,NZMELE0002S7,BWFD052,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,No,No,No,No,Yes,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2014,,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,1.27e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Mineral Resources,Australia,AUS,Diversified Mining,No,medium,AU000000MIN4,B17ZL56,01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,Japan,JPN,Coal Mining,No,large,JP3898400001,6596785,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi Chemical,Japan,JPN,Chemicals,No,large,JP3897700005,B0JQTJ0,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi Materials (Cement),Japan,JPN,Cement,No,medium,JP3903000002,6597089,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi Motors,Japan,JPN,Autos,No,large,JP3899800001,6598446,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,Not Aligned,,Not Aligned,,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),151.0,144.0,139.0,149.0,146.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitsubishi has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Mitsui & Co (Aluminium),Japan,JPN,Aluminium,No,large,JP3893600001,6597302,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Assessed,,Not Assessed,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Mitsui & Co (Coal Mining),Japan,JPN,Coal Mining,No,large,JP3893600001,6597302,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondi,United Kingdom,GBR,Paper,No,medium,GB00B1CRLC47,"B1CRLC4, B1YCDP4",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/02/2021,23/12/2020,Paper_01/02/2021,Paris Pledges,2021,Paris Pledges,2020,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,0.83,0.83,0.76,0.72,0.72,0.71,0.683,0.656,0.629,0.602,0.575,0.548,0.535,0.523,0.51,0.497,0.485,0.472,0.459,0.447,0.434,0.422,0.409,0.396,0.384,0.371,0.359,0.346,0.333,0.321,0.308,0.295,0.283,0.27,0.258,0.245,0.232,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Mosaic Company,United States of America,USA,Chemicals,No,small,US61945C1036,B3NPHP6,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muda,Malaysia,MYS,Paper,No,small,MYL3883OO005,6609230,01/11/2021,31/03/2021,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
NIO,China,CHN,Autos,No,large,US62914V1061,BFZX9H8,01/11/2021,31/03/2021,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRG Energy,United States of America,USA,Electricity Utilities,Yes,medium,US6293775085,2212922,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.754923912,0.80497648,0.71071227,0.626982019,0.605181546,0.743358875,0.621285536,0.605733518,0.590181499,0.57462948,0.559077462,0.543525443,0.527973424,0.506854487,0.48573555,0.464616613,0.443497676,0.422378739,0.401259802,0.380140865,0.359021928,0.337902991,0.316784054,0.295665117,0.274546181,0.253427244,0.232308307,0.21118937,0.190070433,0.168951496,0.147832559,0.126713622,0.105594685,0.084475748,0.063356811,0.042237874,0.021118937,0.0,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
NS United Kaiun Kaisha,Japan,JPN,Shipping,No,small,JP3385000009,6805005,01/11/2021,31/03/2021,1,unchanged,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,No or unsuitable disclosure,,,,,Carbon intensity (gCO2 / t-km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
NTPC,India,IND,Electricity Utilities,Yes,large,INE733E01010,B037HF1,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.861822591,0.883519302,0.957399311,0.88379,0.87279,0.87581,0.87102,0.859047367,0.847074733,0.8351021,0.822962987,0.810823874,0.798684761,0.786545648,0.774406535,0.762267422,0.750128309,0.737989196,0.725850083,0.71371097,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
NYK Line,Japan,JPN,Shipping,No,medium,JP3753000003,6643960,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/12/2020,23/10/2020,Shipping_01/12/2020,International Pledges,2015,Below 2 Degrees,2015,2019,Carbon intensity (gCO2 / t-km),,,6.3,6.6,6.2,5.85,5.6,5.49,5.38,5.28,5.17,5.06,4.95,4.84,4.73,4.63,4.52,4.41,4.35,4.28,4.22,4.16,4.1,4.03,3.97,3.91,3.84,3.78,3.72,3.65,3.59,3.53,3.47,3.4,3.34,3.28,3.21,3.15,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Nakilat,Qatar,QAT,Shipping,No,medium,QA000A0KD6L1,B0MLBC9,01/11/2021,31/03/2021,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (gCO2 / t-km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Nan Ya Plastics,Taiwan,TWN,Chemicals,No,large,TW0001303006,6621580,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Grid,United Kingdom,GBR,Electricity Utilities,Yes,large,GB00BDR05C01,BDR05C0,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.581765117,0.596447523,0.595818696,0.59203965,0.58098843,0.585823849,0.581150623,0.562403829,0.543657035,0.52491024,0.506163446,0.487416652,0.468669857,0.449923063,0.431176269,0.412429475,0.39368268,0.374935886,0.356189092,0.337442297,0.318695503,0.299948709,0.281201914,0.26245512,0.243708326,0.224961532,0.206214737,0.187467943,0.168721149,0.149974354,0.13122756,0.112480766,0.093733971,0.074987177,0.056240383,0.037493589,0.018746794,0.0,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Naturgy Energy,Spain,ESP,Oil & Gas Distribution,Yes,large,ES0116870314,5650422,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neste,Finland,FIN,Oil & Gas,No,large,FI0009013296,B06YV46,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,67.33113206,68.25655892,69.15612084,67.31595222,68.21406881,66.33917442,65.2086174,64.98137195,64.75412649,64.52688104,64.29963558,64.07239013,63.84514467,63.61789922,63.39065377,63.16340831,62.93616286,62.51476869,62.09337451,61.67198034,61.25058617,60.829192,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set an additional target to reduce its emissions intensity which could not be included in this assessment as it was not possible to make it consistent with TPI’s methodology."
Nestle,Switzerland,CHE,Consumer Goods,Yes,large,CH0038863350,7123870,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope,Australia,AUS,Coal Mining,No,small,AU000000NHC7,6681960,01/11/2021,31/03/2021,2,up,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextEra Energy,United States of America,USA,Electricity Utilities,Yes,large,US65339F1012,2328915,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,National Pledges,2013,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.254558912,0.241765021,0.248568914,0.216363818,0.206384774,0.197766509,0.218631782,0.198673694,0.189433057,0.18019242,0.170951783,0.161711147,0.15247051,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
NiSource,United States of America,USA,Electricity Utilities,No,medium,US65473P1057,2645409,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,National Pledges,2028,,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,0.960256189,0.890856474,0.827353467,0.785400007,0.743446546,0.701493086,0.659539626,0.617586165,0.518362574,0.419138982,0.31991539,0.220691798,0.121468207,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Nine Dragons Paper Industries,China,CHN,Paper,No,large,BMG653181005,B0WC2B8,01/11/2021,31/03/2021,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,Not Aligned,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,0.972,0.934,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s disclosure was not clear about whether the emissions figures used for this assessment include Scope 2 emissions. Based on further research, TPI concluded that Scope 2 emissions are likely included in the company’s reported emissions figures."
Nippon Coke & Engineering,Japan,JPN,Coal Mining,No,small,JP3889610006,6740344,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Light Metal,Japan,JPN,Aluminium,No,small,JP3700200003,B51WP26,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Assessed,,Not Assessed,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Nippon Paint,Japan,JPN,Chemicals,No,large,JP3749400002,6640507,01/11/2021,31/03/2021,2,down,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Paper Industries,Japan,JPN,Paper,No,medium,JP3721600009,B8B8PJ2,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,Not Aligned,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,1.191,1.111,1.177,1.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Nippon Steel,Japan,JPN,Steel,Yes,large,JP3381000003,6642569,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),1.99,2.0,2.02,1.99,2.01,2.02,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Nissan,Japan,JPN,Autos,Yes,large,JP3672400003,6642860,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,2 Degrees (Shift-Improve),2041,Paris Pledges,2026,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),144.0,141.0,140.0,141.0,140.0,139.0,135.0,132.0,129.0,125.0,122.0,118.0,114.0,110.0,107.0,103.0,99.0,96.0,92.0,88.0,84.0,81.0,77.0,73.0,69.0,66.0,62.0,58.0,54.0,51.0,47.0,43.0,40.0,36.0,32.0,28.0,25.0,21.0,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Nissan Chemical,Japan,JPN,Chemicals,No,large,JP3670800006,6641588,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisshin Steel,Japan,JPN,Steel,No,medium,JP3676200003,B89C2N9,,,,,,,,,,,,,,,,,,,,,,,,01/02/2020,20/12/2019,Steel_01/02/2020,Not Aligned,,Not Aligned,,2018,Carbon intensity (tonnes of CO2 per tonne of steel),2.4,2.37,2.36,2.35,2.43,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this companyís Carbon Performance.
Nitto Denko,Japan,JPN,Chemicals,No,large,JP3684000007,6641801,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noble Energy,United States of America,USA,Oil & Gas,No,medium,US6550441058,2640761,,,,,,,,,,,,,,,,,,,,,,,,01/10/2020,12/08/2020,Oil & Gas_01/10/2020,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,66.04,65.01,64.72,65.9,66.72,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance."
Nornickel,Russia,RUS,Diversified Mining,Yes,large,"RU0007288411, US55315J1025, US46626D1081","B5B1TX2, BYSW6D0, 2768243",01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Diversified Mining_01/02/2021,Below 2 Degrees,2016,Below 2 Degrees,2016,2019,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,7.955,8.144,7.834,7.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.
Norsk Hydro,Norway,NOR,Aluminium,No,medium,NO0005052605,B11HK39,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Paris Pledges,2014,Below 2 Degrees,2014,2019,Carbon intensity (tCO2e / t aluminium),3.306,3.447,3.347,3.25,3.161,3.188,3.113,3.022,2.93,2.839,2.748,2.657,2.565,2.453,2.341,2.229,2.116,2.004,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI has assumed that: The company's aluminium production grows according to the global growth rate projected in the IEA's Energy Technology Perspectives model Reference Technology scenario."
